Campaign_ID,Campaign_Name,Channel,Region,Customer_Segment,Product_Type,Customers_Targeted,Customers_Responded,Campaign_Cost,Revenue_Generated,Campaign_Start_Date,Campaign_End_Date,Response_Rate, Cost_per_acquisition ,ROI
CMP1016,Investment Plan Promotion,SMS,East,Retail,Investment Plan,7618,1036,33986,640248,15-10-2024,28-10-2024,14%, ? 32.81 ,1784%
CMP1017,Insurance Promotion,SMS,South,Young Professionals,Insurance,7892,1333,84505,319920,28-01-2024,06-02-2024,17%, ? 63.39 ,279%
CMP1018,Personal Loan Promotion,Push Notification,East,High Net Worth,Personal Loan,10392,1283,72256,316901,02-03-2024,12-03-2024,12%, ? 56.32 ,339%
CMP1019,Credit Card Promotion,Social Media,North,Young Professionals,Credit Card,10996,1533,83335,1418025,04-02-2024,07-02-2024,14%, ? 54.36 ,1602%
CMP1020,Credit Card Promotion,Social Media,West,Students,Credit Card,10110,1384,72992,282336,05-08-2024,14-08-2024,14%, ? 52.74 ,287%
CMP1021,Insurance Promotion,SMS,East,Young Professionals,Insurance,8910,609,20206,130326,11-12-2024,23-12-2024,7%, ? 33.18 ,545%
CMP1022,Savings Account Promotion,Push Notification,West,Young Professionals,Savings Account,9035,417,70015,392814,28-08-2024,03-09-2024,5%, ? 167.90 ,461%
CMP1023,Investment Plan Promotion,SMS,South,High Net Worth,Investment Plan,7116,756,38141,517104,18-08-2024,31-08-2024,11%, ? 50.45 ,1256%
CMP1024,Insurance Promotion,Social Media,West,High Net Worth,Insurance,6636,426,82623,442188,05-07-2024,10-07-2024,6%, ? 193.95 ,435%
CMP1025,Investment Plan Promotion,Social Media,South,Young Professionals,Investment Plan,5157,835,84044,645455,13-05-2024,19-05-2024,16%, ? 100.65 ,668%
CMP1026,Credit Card Promotion,Push Notification,North,Retail,Credit Card,12173,1350,46105,738450,18-08-2024,21-08-2024,11%, ? 34.15 ,1502%
CMP1027,Investment Plan Promotion,SMS,South,SME Owners,Investment Plan,3306,310,112787,363320,20-08-2024,25-08-2024,9%, ? 363.83 ,222%
CMP1028,Investment Plan Promotion,Email,West,SME Owners,Investment Plan,9526,521,25530,441808,13-11-2024,20-11-2024,5%, ? 49.00 ,1631%
CMP1029,Credit Card Promotion,Push Notification,East,High Net Worth,Credit Card,14971,997,93530,571281,08-06-2024,18-06-2024,7%, ? 93.81 ,511%
CMP1030,Credit Card Promotion,Email,East,Students,Credit Card,5304,480,71005,334080,21-02-2024,01-03-2024,9%, ? 147.93 ,371%
CMP1031,Insurance Promotion,Social Media,West,Young Professionals,Insurance,13649,1867,87172,1538408,21-03-2024,03-04-2024,14%, ? 46.69 ,1665%
CMP1032,Personal Loan Promotion,Email,East,High Net Worth,Personal Loan,12352,2180,20854,2607280,11-08-2024,14-08-2024,18%, ? 9.57 ,12403%
CMP1033,Investment Plan Promotion,Email,East,High Net Worth,Investment Plan,8528,562,107092,496246,05-08-2024,13-08-2024,7%, ? 190.56 ,363%
CMP1034,Personal Loan Promotion,SMS,South,Students,Personal Loan,7535,895,72662,359790,02-07-2024,15-07-2024,12%, ? 81.19 ,395%
CMP1035,Credit Card Promotion,Email,East,SME Owners,Credit Card,14688,2045,87863,2118620,07-04-2024,15-04-2024,14%, ? 42.96 ,2311%
CMP1036,Personal Loan Promotion,Email,East,Students,Personal Loan,9125,1007,100623,345401,06-04-2024,17-04-2024,11%, ? 99.92 ,243%
CMP1037,Credit Card Promotion,Email,South,High Net Worth,Credit Card,11339,1204,71663,659792,15-09-2024,21-09-2024,11%, ? 59.52 ,821%
CMP1038,Investment Plan Promotion,Email,West,Retail,Investment Plan,4811,633,92082,344985,26-05-2024,01-06-2024,13%, ? 145.47 ,275%
CMP1039,Investment Plan Promotion,SMS,South,SME Owners,Investment Plan,4911,218,28680,245904,07-05-2024,16-05-2024,4%, ? 131.56 ,757%
CMP1040,Investment Plan Promotion,SMS,East,High Net Worth,Investment Plan,4385,682,21802,809534,30-05-2024,11-06-2024,16%, ? 31.97 ,3613%
CMP1041,Personal Loan Promotion,Push Notification,South,High Net Worth,Personal Loan,2262,291,116601,239493,29-02-2024,03-03-2024,13%, ? 400.69 ,105%
CMP1042,Insurance Promotion,Social Media,West,Students,Insurance,4049,726,40932,171336,08-06-2024,21-06-2024,18%, ? 56.38 ,319%
CMP1043,Personal Loan Promotion,Push Notification,North,Young Professionals,Personal Loan,9158,740,62642,751100,26-07-2024,31-07-2024,8%, ? 84.65 ,1099%
CMP1044,Investment Plan Promotion,Email,East,Retail,Investment Plan,6499,1059,79040,1185021,25-04-2024,08-05-2024,16%, ? 74.64 ,1399%
CMP1045,Credit Card Promotion,SMS,South,Retail,Credit Card,3648,197,73351,207047,10-09-2024,15-09-2024,5%, ? 372.34 ,182%
CMP1046,Credit Card Promotion,Email,South,Retail,Credit Card,13375,604,102018,212608,14-12-2024,18-12-2024,5%, ? 168.90 ,108%
CMP1047,Personal Loan Promotion,Social Media,North,High Net Worth,Personal Loan,6973,783,22869,283446,26-07-2024,06-08-2024,11%, ? 29.21 ,1139%
CMP1048,Investment Plan Promotion,Social Media,West,Young Professionals,Investment Plan,14259,1951,43328,1164747,03-10-2024,09-10-2024,14%, ? 22.21 ,2588%
CMP1049,Insurance Promotion,SMS,West,Young Professionals,Insurance,11719,1493,66214,588242,07-05-2024,10-05-2024,13%, ? 44.35 ,788%
CMP1050,Credit Card Promotion,Push Notification,South,Retail,Credit Card,12927,569,60818,380661,22-01-2024,30-01-2024,4%, ? 106.89 ,526%
CMP1051,Insurance Promotion,Push Notification,East,SME Owners,Insurance,5436,559,25895,269438,27-01-2024,31-01-2024,10%, ? 46.32 ,941%
CMP1052,Credit Card Promotion,Push Notification,North,Retail,Credit Card,6893,873,59790,1011807,12-11-2024,17-11-2024,13%, ? 68.49 ,1592%
CMP1053,Personal Loan Promotion,Push Notification,East,Retail,Personal Loan,9683,325,93744,120575,07-08-2024,14-08-2024,3%, ? 288.44 ,29%
CMP1054,Insurance Promotion,SMS,South,High Net Worth,Insurance,12757,1091,83208,257476,06-10-2024,09-10-2024,9%, ? 76.27 ,209%
CMP1055,Savings Account Promotion,SMS,West,Young Professionals,Savings Account,2301,402,86235,479184,25-04-2024,02-05-2024,17%, ? 214.51 ,456%
CMP1056,Insurance Promotion,Push Notification,South,Retail,Insurance,4975,784,105314,256368,18-01-2024,29-01-2024,16%, ? 134.33 ,143%
CMP1057,Credit Card Promotion,Email,North,High Net Worth,Credit Card,7854,1230,71885,1218930,23-04-2024,01-05-2024,16%, ? 58.44 ,1596%
CMP1058,Insurance Promotion,Email,South,Young Professionals,Insurance,3686,188,102074,129532,29-09-2024,09-10-2024,5%, ? 542.95 ,27%
CMP1059,Insurance Promotion,Push Notification,West,Young Professionals,Insurance,10096,509,98069,190875,08-02-2024,20-02-2024,5%, ? 192.67 ,95%
CMP1060,Credit Card Promotion,Email,South,SME Owners,Credit Card,4806,446,70993,499520,13-01-2024,25-01-2024,9%, ? 159.18 ,604%
CMP1061,Savings Account Promotion,Push Notification,East,SME Owners,Savings Account,4950,520,90316,113880,16-11-2024,26-11-2024,11%, ? 173.68 ,26%
CMP1062,Personal Loan Promotion,Push Notification,West,Young Professionals,Personal Loan,8655,774,96429,906354,22-05-2024,26-05-2024,9%, ? 124.59 ,840%
CMP1063,Investment Plan Promotion,Social Media,South,Retail,Investment Plan,7919,924,119157,231000,01-06-2024,13-06-2024,12%, ? 128.96 ,94%
CMP1064,Credit Card Promotion,Email,East,Retail,Credit Card,2574,456,42677,233928,27-02-2024,06-03-2024,18%, ? 93.59 ,448%
CMP1065,Investment Plan Promotion,Push Notification,South,Retail,Investment Plan,11907,426,73006,107778,10-04-2024,13-04-2024,4%, ? 171.38 ,48%
CMP1066,Investment Plan Promotion,Email,South,Retail,Investment Plan,5124,362,68747,73848,12-04-2024,18-04-2024,7%, ? 189.91 ,7%
CMP1067,Credit Card Promotion,Email,South,SME Owners,Credit Card,6869,259,76179,142191,16-02-2024,21-02-2024,4%, ? 294.13 ,87%
CMP1068,Credit Card Promotion,SMS,North,High Net Worth,Credit Card,8966,455,114476,258895,03-05-2024,15-05-2024,5%, ? 251.60 ,126%
CMP1069,Personal Loan Promotion,Push Notification,East,Students,Personal Loan,3693,133,93847,136990,01-10-2024,13-10-2024,4%, ? 705.62 ,46%
CMP1070,Insurance Promotion,Social Media,South,Students,Insurance,11561,390,28308,401310,05-10-2024,16-10-2024,3%, ? 72.58 ,1318%
CMP1071,Savings Account Promotion,SMS,East,SME Owners,Savings Account,3931,359,86617,299047,01-01-2024,05-01-2024,9%, ? 241.27 ,245%
CMP1072,Investment Plan Promotion,Email,North,SME Owners,Investment Plan,9805,432,40056,296784,24-08-2024,31-08-2024,4%, ? 92.72 ,641%
CMP1073,Personal Loan Promotion,Email,North,High Net Worth,Personal Loan,5343,574,49375,370804,09-03-2024,17-03-2024,11%, ? 86.02 ,651%
CMP1074,Credit Card Promotion,Social Media,South,Students,Credit Card,9004,836,105067,295108,23-05-2024,28-05-2024,9%, ? 125.68 ,181%
CMP1075,Personal Loan Promotion,SMS,East,Students,Personal Loan,9253,297,81389,124443,09-03-2024,12-03-2024,3%, ? 274.04 ,53%
CMP1076,Investment Plan Promotion,Push Notification,East,High Net Worth,Investment Plan,4141,655,80403,427060,22-07-2024,03-08-2024,16%, ? 122.75 ,431%
CMP1077,Personal Loan Promotion,Email,East,Retail,Personal Loan,8617,893,114758,724223,15-10-2024,22-10-2024,10%, ? 128.51 ,531%
CMP1078,Investment Plan Promotion,Social Media,North,Retail,Investment Plan,12262,456,99605,472416,09-04-2024,13-04-2024,4%, ? 218.43 ,374%
CMP1079,Investment Plan Promotion,SMS,East,Students,Investment Plan,13443,1158,43289,993564,05-04-2024,08-04-2024,9%, ? 37.38 ,2195%
CMP1080,Savings Account Promotion,SMS,East,Young Professionals,Savings Account,11207,1443,24611,310245,06-10-2024,15-10-2024,13%, ? 17.06 ,1161%
CMP1081,Credit Card Promotion,Push Notification,East,Retail,Credit Card,14784,2366,108223,1594684,05-12-2024,15-12-2024,16%, ? 45.74 ,1374%
CMP1082,Credit Card Promotion,Push Notification,East,Retail,Credit Card,12123,1069,55195,795336,27-06-2024,10-07-2024,9%, ? 51.63 ,1341%
CMP1083,Personal Loan Promotion,Social Media,South,Students,Personal Loan,7732,957,117856,589512,16-06-2024,28-06-2024,12%, ? 123.15 ,400%
CMP1084,Credit Card Promotion,Push Notification,West,High Net Worth,Credit Card,3066,182,106027,146692,28-10-2024,01-11-2024,6%, ? 582.57 ,38%
CMP1085,Investment Plan Promotion,Email,North,Young Professionals,Investment Plan,12738,1563,47350,1638024,30-03-2024,09-04-2024,12%, ? 30.29 ,3359%
CMP1086,Investment Plan Promotion,Email,East,High Net Worth,Investment Plan,8748,1371,95353,845907,24-04-2024,05-05-2024,16%, ? 69.55 ,787%
CMP1087,Credit Card Promotion,SMS,West,Young Professionals,Credit Card,5974,285,109588,235125,15-03-2024,25-03-2024,5%, ? 384.52 ,115%
CMP1088,Savings Account Promotion,Social Media,East,Retail,Savings Account,9587,888,109084,852480,12-06-2024,24-06-2024,9%, ? 122.84 ,681%
CMP1089,Savings Account Promotion,SMS,South,Retail,Savings Account,7988,1139,67295,1068382,25-06-2024,30-06-2024,14%, ? 59.08 ,1488%
CMP1090,Personal Loan Promotion,Push Notification,South,Young Professionals,Personal Loan,6079,298,90640,357004,05-04-2024,15-04-2024,5%, ? 304.16 ,294%
CMP1091,Personal Loan Promotion,SMS,West,Retail,Personal Loan,8806,1493,81476,1461647,01-07-2024,10-07-2024,17%, ? 54.57 ,1694%
CMP1092,Savings Account Promotion,Social Media,West,Young Professionals,Savings Account,4914,223,34397,177285,04-08-2024,12-08-2024,5%, ? 154.25 ,415%
CMP1093,Credit Card Promotion,SMS,North,SME Owners,Credit Card,6492,1066,67280,864526,20-08-2024,25-08-2024,16%, ? 63.11 ,1185%
CMP1094,Insurance Promotion,Push Notification,South,Young Professionals,Insurance,6171,513,79163,470421,10-08-2024,16-08-2024,8%, ? 154.31 ,494%
CMP1095,Personal Loan Promotion,Social Media,East,Young Professionals,Personal Loan,6946,722,28335,782648,09-03-2024,14-03-2024,10%, ? 39.25 ,2662%
CMP1096,Savings Account Promotion,Email,South,SME Owners,Savings Account,6491,514,31130,343352,22-02-2024,02-03-2024,8%, ? 60.56 ,1003%
CMP1097,Savings Account Promotion,Social Media,North,Students,Savings Account,3167,470,104076,419240,11-02-2024,23-02-2024,15%, ? 221.44 ,303%
CMP1098,Credit Card Promotion,Push Notification,East,Retail,Credit Card,13174,2363,29348,855406,02-08-2024,15-08-2024,18%, ? 12.42 ,2815%
CMP1099,Savings Account Promotion,Social Media,South,High Net Worth,Savings Account,10010,476,92267,99008,14-03-2024,26-03-2024,5%, ? 193.84 ,7%
CMP1100,Insurance Promotion,Email,North,High Net Worth,Insurance,4539,726,64261,521268,22-06-2024,02-07-2024,16%, ? 88.51 ,711%
CMP1101,Investment Plan Promotion,Social Media,East,SME Owners,Investment Plan,8313,743,108858,618919,12-07-2024,19-07-2024,9%, ? 146.51 ,469%
CMP1102,Personal Loan Promotion,Email,West,High Net Worth,Personal Loan,8172,349,46962,295603,30-12-2024,02-01-2025,4%, ? 134.56 ,529%
CMP1103,Credit Card Promotion,Social Media,North,SME Owners,Credit Card,3365,511,77854,268786,04-08-2024,10-08-2024,15%, ? 152.36 ,245%
CMP1104,Credit Card Promotion,SMS,East,SME Owners,Credit Card,12019,1038,39870,1023468,29-12-2024,06-01-2025,9%, ? 38.41 ,2467%
CMP1105,Savings Account Promotion,Social Media,East,Retail,Savings Account,12406,1161,75129,847530,08-02-2024,13-02-2024,9%, ? 64.71 ,1028%
CMP1106,Insurance Promotion,Social Media,West,Students,Insurance,6268,198,29435,165726,27-02-2024,04-03-2024,3%, ? 148.66 ,463%
CMP1107,Insurance Promotion,Social Media,South,Young Professionals,Insurance,8619,1250,45470,700000,01-01-2024,06-01-2024,15%, ? 36.38 ,1439%
CMP1108,Investment Plan Promotion,Push Notification,South,High Net Worth,Investment Plan,12188,799,86040,311610,07-11-2024,10-11-2024,7%, ? 107.68 ,262%
CMP1109,Credit Card Promotion,Social Media,West,High Net Worth,Credit Card,7029,670,87641,505850,21-06-2024,28-06-2024,10%, ? 130.81 ,477%
CMP1110,Insurance Promotion,Social Media,East,Young Professionals,Insurance,6175,674,81642,649062,16-08-2024,22-08-2024,11%, ? 121.13 ,695%
CMP1111,Insurance Promotion,Social Media,West,SME Owners,Insurance,11442,1536,91726,663552,31-10-2024,03-11-2024,13%, ? 59.72 ,623%
CMP1112,Credit Card Promotion,SMS,West,Young Professionals,Credit Card,11588,1559,88866,1332945,12-01-2024,24-01-2024,13%, ? 57.00 ,1400%
CMP1113,Personal Loan Promotion,Social Media,East,Retail,Personal Loan,12975,501,110469,586671,04-06-2024,11-06-2024,4%, ? 220.50 ,431%
CMP1114,Personal Loan Promotion,Social Media,South,Young Professionals,Personal Loan,11337,660,81529,559020,04-07-2024,08-07-2024,6%, ? 123.53 ,586%
CMP1115,Insurance Promotion,Email,North,Young Professionals,Insurance,2539,105,24835,94815,24-05-2024,04-06-2024,4%, ? 236.52 ,282%
CMP1116,Investment Plan Promotion,Email,West,SME Owners,Investment Plan,8132,1236,55547,1175436,15-02-2024,20-02-2024,15%, ? 44.94 ,2016%
CMP1117,Insurance Promotion,SMS,West,SME Owners,Insurance,5324,910,76178,414050,15-07-2024,26-07-2024,17%, ? 83.71 ,444%
CMP1118,Credit Card Promotion,SMS,South,Retail,Credit Card,2009,341,43793,153450,30-12-2024,06-01-2025,17%, ? 128.43 ,250%
CMP1119,Investment Plan Promotion,Push Notification,South,Young Professionals,Investment Plan,3015,260,47712,89700,11-08-2024,14-08-2024,9%, ? 183.51 ,88%
CMP1120,Personal Loan Promotion,Push Notification,North,High Net Worth,Personal Loan,9449,823,40309,844398,09-10-2024,12-10-2024,9%, ? 48.98 ,1995%
CMP1121,Insurance Promotion,Email,West,Young Professionals,Insurance,6000,601,28702,350984,06-11-2024,14-11-2024,10%, ? 47.76 ,1123%
CMP1122,Investment Plan Promotion,Social Media,West,High Net Worth,Investment Plan,14763,2243,118142,1893092,23-12-2024,28-12-2024,15%, ? 52.67 ,1502%
CMP1123,Insurance Promotion,Push Notification,West,Young Professionals,Insurance,3460,407,89172,356532,20-07-2024,01-08-2024,12%, ? 219.10 ,300%
CMP1124,Savings Account Promotion,Push Notification,East,Young Professionals,Savings Account,6178,414,76397,271584,01-01-2024,06-01-2024,7%, ? 184.53 ,255%
CMP1125,Insurance Promotion,Push Notification,South,Students,Insurance,6780,819,41949,530712,14-10-2024,18-10-2024,12%, ? 51.22 ,1165%
CMP1126,Savings Account Promotion,Email,East,Young Professionals,Savings Account,5419,380,34489,170620,10-06-2024,18-06-2024,7%, ? 90.76 ,395%
CMP1127,Credit Card Promotion,Social Media,East,High Net Worth,Credit Card,12357,1911,52049,892437,23-02-2024,01-03-2024,15%, ? 27.24 ,1615%
CMP1128,Insurance Promotion,SMS,South,Young Professionals,Insurance,13229,2136,62808,1281600,21-04-2024,30-04-2024,16%, ? 29.40 ,1941%
CMP1129,Insurance Promotion,SMS,South,Retail,Insurance,13470,1989,97709,1545453,15-03-2024,20-03-2024,15%, ? 49.12 ,1482%
CMP1130,Insurance Promotion,Push Notification,East,High Net Worth,Insurance,12342,622,98587,582814,20-10-2024,24-10-2024,5%, ? 158.50 ,491%
CMP1131,Insurance Promotion,Push Notification,North,Young Professionals,Insurance,8241,1034,45934,1093972,03-11-2024,14-11-2024,13%, ? 44.42 ,2282%
CMP1132,Insurance Promotion,Push Notification,North,High Net Worth,Insurance,6261,611,62318,452751,03-09-2024,15-09-2024,10%, ? 101.99 ,627%
CMP1133,Savings Account Promotion,Push Notification,North,Students,Savings Account,9730,1310,59811,441470,02-07-2024,05-07-2024,13%, ? 45.66 ,638%
CMP1134,Investment Plan Promotion,Push Notification,West,High Net Worth,Investment Plan,7449,1082,75123,1280006,09-03-2024,13-03-2024,15%, ? 69.43 ,1604%
CMP1135,Savings Account Promotion,SMS,West,Young Professionals,Savings Account,9941,1032,89836,335400,22-08-2024,04-09-2024,10%, ? 87.05 ,273%
CMP1136,Insurance Promotion,Push Notification,West,Retail,Insurance,14015,1138,26254,1092480,30-05-2024,08-06-2024,8%, ? 23.07 ,4061%
CMP1137,Insurance Promotion,Social Media,West,Young Professionals,Insurance,8238,741,42415,532779,25-12-2024,31-12-2024,9%, ? 57.24 ,1156%
CMP1138,Investment Plan Promotion,SMS,North,SME Owners,Investment Plan,11911,1092,103807,430248,03-06-2024,07-06-2024,9%, ? 95.06 ,314%
CMP1139,Personal Loan Promotion,Email,North,SME Owners,Personal Loan,14348,844,43954,833872,05-01-2024,09-01-2024,6%, ? 52.08 ,1797%
CMP1140,Savings Account Promotion,Push Notification,South,Retail,Savings Account,14891,1223,43061,738692,21-11-2024,24-11-2024,8%, ? 35.21 ,1615%
CMP1141,Insurance Promotion,Push Notification,East,Young Professionals,Insurance,8376,698,113229,520010,18-03-2024,30-03-2024,8%, ? 162.22 ,359%
CMP1142,Savings Account Promotion,Social Media,East,SME Owners,Savings Account,9240,405,42574,129600,01-08-2024,11-08-2024,4%, ? 105.12 ,204%
CMP1143,Insurance Promotion,Push Notification,East,Retail,Insurance,8493,454,72796,243344,26-01-2024,01-02-2024,5%, ? 160.34 ,234%
CMP1144,Personal Loan Promotion,Email,North,Students,Personal Loan,12247,1742,70428,1552122,25-07-2024,04-08-2024,14%, ? 40.43 ,2104%
CMP1145,Personal Loan Promotion,Email,North,Retail,Personal Loan,10717,1315,93686,364255,03-08-2024,07-08-2024,12%, ? 71.24 ,289%
CMP1146,Personal Loan Promotion,SMS,North,High Net Worth,Personal Loan,2364,93,35034,47523,07-01-2024,12-01-2024,4%, ? 376.71 ,36%
CMP1147,Credit Card Promotion,SMS,South,SME Owners,Credit Card,3646,571,75658,542450,30-09-2024,12-10-2024,16%, ? 132.50 ,617%
CMP1148,Savings Account Promotion,SMS,West,Students,Savings Account,8949,983,55854,384353,28-04-2024,05-05-2024,11%, ? 56.82 ,588%
CMP1149,Savings Account Promotion,SMS,North,Young Professionals,Savings Account,12267,404,70448,173720,26-03-2024,07-04-2024,3%, ? 174.38 ,147%
CMP1150,Investment Plan Promotion,Email,North,Students,Investment Plan,2125,101,23596,41511,25-01-2024,31-01-2024,5%, ? 233.62 ,76%
CMP1151,Credit Card Promotion,Push Notification,West,Young Professionals,Credit Card,9561,1418,46734,605486,20-04-2024,28-04-2024,15%, ? 32.96 ,1196%
CMP1152,Investment Plan Promotion,SMS,North,Students,Investment Plan,14910,2114,101264,2001958,23-03-2024,04-04-2024,14%, ? 47.90 ,1877%
CMP1153,Investment Plan Promotion,Email,North,Students,Investment Plan,4472,360,104659,173160,15-11-2024,19-11-2024,8%, ? 290.72 ,65%
CMP1154,Investment Plan Promotion,Push Notification,East,Retail,Investment Plan,13706,1143,37260,1331595,16-08-2024,27-08-2024,8%, ? 32.60 ,3474%
CMP1155,Insurance Promotion,Social Media,North,SME Owners,Insurance,11504,358,112436,325422,10-03-2024,19-03-2024,3%, ? 314.07 ,189%
CMP1156,Insurance Promotion,Email,West,Students,Insurance,8767,474,76138,305730,13-11-2024,23-11-2024,5%, ? 160.63 ,302%
CMP1157,Investment Plan Promotion,SMS,West,Young Professionals,Investment Plan,13062,2042,44818,1515164,09-02-2024,16-02-2024,16%, ? 21.95 ,3281%
CMP1158,Insurance Promotion,Social Media,West,SME Owners,Insurance,12787,2296,36389,1196216,07-08-2024,20-08-2024,18%, ? 15.85 ,3187%
CMP1159,Credit Card Promotion,Social Media,East,Young Professionals,Credit Card,10195,313,20117,338040,03-04-2024,13-04-2024,3%, ? 64.27 ,1580%
CMP1160,Insurance Promotion,Social Media,West,Young Professionals,Insurance,7560,1041,30954,615231,26-01-2024,31-01-2024,14%, ? 29.73 ,1888%
CMP1161,Insurance Promotion,Push Notification,East,Retail,Insurance,8316,1209,26469,736281,27-04-2024,03-05-2024,15%, ? 21.89 ,2682%
CMP1162,Personal Loan Promotion,Social Media,South,SME Owners,Personal Loan,12002,719,65587,224328,19-05-2024,22-05-2024,6%, ? 91.22 ,242%
CMP1163,Savings Account Promotion,Social Media,East,Students,Savings Account,8233,1195,62533,1199780,18-05-2024,24-05-2024,15%, ? 52.33 ,1819%
CMP1164,Personal Loan Promotion,Social Media,North,High Net Worth,Personal Loan,8988,987,40128,1086687,26-06-2024,06-07-2024,11%, ? 40.66 ,2608%
CMP1165,Insurance Promotion,Email,South,SME Owners,Insurance,2009,225,29865,83475,13-01-2024,23-01-2024,11%, ? 132.73 ,180%
CMP1166,Insurance Promotion,SMS,West,SME Owners,Insurance,13905,600,21342,487200,24-11-2024,27-11-2024,4%, ? 35.57 ,2183%
CMP1167,Personal Loan Promotion,Email,North,Students,Personal Loan,4824,575,99767,430675,03-04-2024,06-04-2024,12%, ? 173.51 ,332%
CMP1168,Investment Plan Promotion,Push Notification,South,Students,Investment Plan,3604,557,20235,637765,29-11-2024,06-12-2024,15%, ? 36.33 ,3052%
CMP1169,Investment Plan Promotion,Social Media,West,High Net Worth,Investment Plan,10567,1887,85441,1485069,04-02-2024,07-02-2024,18%, ? 45.28 ,1638%
CMP1170,Savings Account Promotion,Social Media,West,High Net Worth,Savings Account,7415,1025,25951,561700,23-11-2024,06-12-2024,14%, ? 25.32 ,2064%
CMP1171,Savings Account Promotion,Social Media,West,Students,Savings Account,11064,1577,50523,1572269,17-10-2024,24-10-2024,14%, ? 32.04 ,3012%
CMP1172,Personal Loan Promotion,Social Media,South,Retail,Personal Loan,4898,635,40611,508000,24-08-2024,05-09-2024,13%, ? 63.95 ,1151%
CMP1173,Personal Loan Promotion,Social Media,North,High Net Worth,Personal Loan,4136,547,79207,270218,13-04-2024,18-04-2024,13%, ? 144.80 ,241%
CMP1174,Savings Account Promotion,SMS,South,SME Owners,Savings Account,9804,737,107062,570438,22-05-2024,25-05-2024,8%, ? 145.27 ,433%
CMP1175,Savings Account Promotion,Social Media,North,Young Professionals,Savings Account,4712,392,31246,275184,04-11-2024,14-11-2024,8%, ? 79.71 ,781%
CMP1176,Savings Account Promotion,SMS,East,Young Professionals,Savings Account,12343,1526,87506,605822,13-05-2024,18-05-2024,12%, ? 57.34 ,592%
CMP1177,Credit Card Promotion,Email,South,Students,Credit Card,3202,256,107487,178944,15-01-2024,18-01-2024,8%, ? 419.87 ,66%
CMP1178,Insurance Promotion,Email,East,Young Professionals,Insurance,12227,1726,20922,1068394,05-06-2024,13-06-2024,14%, ? 12.12 ,5007%
CMP1179,Savings Account Promotion,Email,North,High Net Worth,Savings Account,3120,424,52154,487600,15-10-2024,21-10-2024,14%, ? 123.00 ,835%
CMP1180,Savings Account Promotion,Push Notification,West,SME Owners,Savings Account,4645,636,63872,201612,20-10-2024,26-10-2024,14%, ? 100.43 ,216%
CMP1181,Insurance Promotion,SMS,North,Students,Insurance,8359,1008,40103,463680,05-06-2024,11-06-2024,12%, ? 39.78 ,1056%
CMP1182,Insurance Promotion,Email,North,SME Owners,Insurance,4891,713,36478,588938,30-08-2024,05-09-2024,15%, ? 51.16 ,1515%
